timestep,total_segments,total_synapses,avg_permanence
0,40,0,0.0000
1,80,1240,0.2400
2,88,1488,0.2605
3,126,2666,0.2521
4,126,2666,0.2717
5,131,2821,0.2822
6,168,3968,0.2705
7,168,3968,0.2941
8,176,4216,0.3046
9,186,4526,0.3055
10,223,5673,0.2925
11,223,5673,0.3179
12,223,5673,0.3367
13,223,5673,0.3491
14,233,5983,0.3487
15,268,7068,0.3323
16,268,7068,0.3576
17,272,7192,0.3728
18,272,7192,0.3852
19,272,7192,0.3945
20,275,7285,0.3977
21,314,8494,0.3753
22,314,8494,0.3988
23,314,8494,0.4189
24,315,8525,0.4343
25,315,8525,0.4467
26,317,8587,0.4537
27,320,8680,0.4553
28,358,9858,0.4297
29,359,9889,0.4522
30,359,9889,0.4717
31,360,9920,0.4877
32,360,9920,0.5015
33,360,9920,0.5119
34,361,9951,0.5181
35,364,10044,0.5192
36,403,11253,0.4893
37,403,11253,0.5126
38,403,11253,0.5340
39,403,11253,0.5515
40,403,11253,0.5654
41,403,11253,0.5764
42,403,11253,0.5862
43,403,11253,0.5930
44,404,11284,0.5961
45,444,12524,0.5608
46,444,12524,0.5832
47,444,12524,0.5993
48,445,12555,0.6109
49,445,12555,0.6210
50,445,12555,0.6307
51,446,12586,0.6369
52,446,12586,0.6435
53,446,12586,0.6499
54,447,12617,0.6522
55,486,13826,0.6162
56,486,13826,0.6322
57,486,13826,0.6453
58,486,13826,0.6552
59,486,13826,0.6621
60,486,13826,0.6687
61,487,13857,0.6742
62,487,13857,0.6808
63,489,13919,0.6851
64,489,13919,0.6911
65,490,13950,0.6933
66,529,15159,0.6572
67,529,15159,0.6712
68,529,15159,0.6790
69,529,15159,0.6861
70,530,15190,0.6919
71,530,15190,0.6983
72,531,15221,0.7037
73,531,15221,0.7095
74,531,15221,0.7153
75,531,15221,0.7210
76,532,15252,0.7235
77,536,15376,0.7223
78,575,16585,0.6872
79,575,16585,0.6956
80,575,16585,0.7016
81,575,16585,0.7068
82,575,16585,0.7125
83,575,16585,0.7177
84,575,16585,0.7231
85,575,16585,0.7281
86,576,16616,0.7323
87,576,16616,0.7352
88,576,16616,0.7381
89,576,16616,0.7409
90,577,16647,0.7425
91,616,17856,0.7085
92,616,17856,0.7162
93,616,17856,0.7215
94,616,17856,0.7262
95,616,17856,0.7311
96,616,17856,0.7363
97,616,17856,0.7413
98,616,17856,0.7461
99,616,17856,0.7486
0,40,0,0.0000
1,80,1240,0.2400
2,88,1488,0.2658
3,126,2666,0.2553
4,126,2666,0.2803
5,131,2821,0.2935
6,168,3968,0.2786
7,168,3968,0.3085
8,176,4216,0.3217
9,186,4526,0.3229
10,223,5673,0.3064
11,223,5673,0.3385
12,223,5673,0.3622
13,223,5673,0.3778
